Date,Open,High,Low,Close,Volume
21/06/2024,38608.66,38795.68,38532.13,38596.47,1408422000
24/06/2024,38497.42,38905.47,38416.07,38804.65,934567500
25/06/2024,38833.9,39215.07,38758.07,39173.15,1082542100
26/06/2024,39364.73,39788.63,39233.56,39667.07,1088836200
27/06/2024,39434.47,39439.24,39193.51,39341.54,1150281900
28/06/2024,39593.01,39783.7,39485.73,39583.08,1243441800
01/07/2024,39839.82,39942.69,39537.1,39631.06,1187806900
02/07/2024,39543.61,40113.48,39457.62,40074.69,1350506700
03/07/2024,40225.83,40694.21,40172.85,40580.76,1256457500
04/07/2024,40747.59,40971.23,40604.15,40913.65,1179936300
05/07/2024,41009.36,41100.13,40746.89,40912.37,1142341500
08/07/2024,40863.14,41112.24,40780.7,40780.7,1130177600
09/07/2024,40953.41,41769.35,40942.44,41580.17,1181927400
10/07/2024,41444.33,41889.16,41430.38,41831.99,1344314200
11/07/2024,42343.72,42426.77,42102.46,42224.02,1230396800
12/07/2024,41668.86,41754.76,41188.29,41190.68,1303586500
16/07/2024,41366.79,41520.07,41220.65,41275.08,1007741600
17/07/2024,41416.18,41466.45,41054.72,41097.69,1098754400
18/07/2024,40521.71,40587.63,40104.22,40126.35,1175661700
19/07/2024,39965.91,40212.9,39824.58,40063.79,998316300
22/07/2024,39947.95,39973.2,39519.39,39599,827466000
23/07/2024,39864.09,39927.89,39519.91,39594.39,883160600
24/07/2024,39336.74,39643.27,39096.5,39154.85,1102608300
25/07/2024,38524.2,38557.79,37825.58,37869.51,1429652800
26/07/2024,37792.87,38105.96,37611.19,37667.41,1239545500
29/07/2024,38139.12,38719.7,38010.01,38468.63,1073493000
30/07/2024,38241.35,38531.16,38076.7,38525.95,1096622500
31/07/2024,38140.77,39188.37,37954.38,39101.82,1464213500
01/08/2024,38781.56,38781.56,37737.88,38126.33,1788397300
02/08/2024,37444.17,37471.52,35880.15,35909.7,2043090100
05/08/2024,35249.36,35301.18,31156.12,31458.42,2855705500
06/08/2024,32077.33,34911.8,32077.33,34675.46,2512352700
07/08/2024,34122.35,35849.77,33739.46,35089.62,2427982200
08/08/2024,34645.79,35379.65,34207.16,34831.15,1653267900
09/08/2024,35272.34,35671.31,34445.57,35025,1768683100
13/08/2024,35490.58,36232.51,35476.79,36232.51,1407375300
14/08/2024,36535.6,36683.89,36074.71,36442.43,1355812100
15/08/2024,36381.4,36885.16,36381.4,36726.64,1196943400
16/08/2024,37304.93,38143.55,37304.93,38062.67,1294568800
19/08/2024,37863.76,38125.27,37318.04,37388.62,1077759300
20/08/2024,37847.85,38236.39,37738.3,38062.92,1106142000
21/08/2024,37653.34,38026.02,37605.83,37951.8,947816500
22/08/2024,38033.78,38408.19,37883.86,38211.01,927610500
23/08/2024,38278.18,38424.27,38053.47,38364.27,897676100
26/08/2024,38156.41,38204.81,37825.31,38110.22,917042200
27/08/2024,38066.31,38365.64,37911.32,38288.62,842828900
28/08/2024,38221.38,38399.91,38141.49,38371.76,886716900
29/08/2024,38119.95,38401.15,37970.2,38362.53,1064633300
30/08/2024,38388.04,38669.79,38316.87,38647.75,1365792600
02/09/2024,39025.31,39080.64,38476.51,38700.87,870884600
